ID,Country,Denomination,Currency,Symbol,Year,FrontDesign,BackDesign,Designer,Quantity,,,,,,,,
20 Spanish Euro Cent,Spain,20,Euro Cent,€,1999,"Head of the Spanish writer Miguel de Cervantes front-facing, a quill and the twelve stars of Europe of whom four are bound by a band.",First map of Europe symbolizing the gathering of the fifteen nations of the European Union and twelve stars (six above and six below map).,Luc Luycx,3,,,,,,,,
10 Spanish Euro Cent,Spain,10,Euro Cent,€,2010,"Head of the Spanish writer Miguel de Cervantes front-facing, a quill and the twelve stars of Europe of whom four are bound by a band.","A map, next to the face value, symbolizes the gathering of the fifteen nations of the European Union",Luc Luycx,1,,,,,,,,
10 Italian Euro Cent,Italy,10,Euro Cent,€,2010,"A detail of the ""Birth of Venus"", a tableau painted by Sandro Botticelli circa 1485, is encircled by the twelve stars of Europe","A map, next to the face value, symbolizes the gathering of the fifteen nations of the European Union",Claudia Momoni | Luc Luycx,1,,,,,,,,
5 Italian Euro Cent,Italy,5,Euro Cent,€,2024,"The Flavius amphitheatre, which Emperor Vespasian began building around 75 AD and Emperor Titus inaugurated in 80 AD, is encircled by the twelve stars of Europe","A globe, next to the face value, shows Europe in relation to Africa and Asia",Ettore Lorenzo Frapiccini | Luc Luycx,1,,,,,,,,
2 Italian Euro Cent,Italy,2,Euro Cent,€,2010,"The Mole Antonelliana, a tower designed in 1863 by Alessandro Antonelli, is encircled by the twelve stars of Europe. Below the Mole: the mintmark (R), the monogram RI for the Italian Republic, and the initial of the author.","A globe, next to the face value, shows Europe in relation to Africa and Asia",Luciana De Simoni | Luc Luycx,1,,,,,,,,
2 Spanish Euro Cent,Spain,2,Euro Cent,€,2017,Main facade of Cathedral of Santiago de Compostela and the twelve stars of Europe of whom five are bound by a band.,A globe shows Europe in relation to Africa and Asia and twelve stars (six above and six below globe).,Garcilaso Rollán Sánchez | Luc Luycx,1,,,,,,,,
1 UAE Fils,UAE,1,Dirhams,AED |  ?. ?,1998 - 1419,Denomination in Arabic characters surrounded by the country name,Dallah (traditional Arabic coffee pot) above dates,Geoffrey Colley,2,,,,,,,,
25 UAE Fils,UAE,25,Dirhams,AED |  ?. ?,,Denomination in Arabic characters surrounded by name of the country,"Gazelle facing left, date below. Probably the sand gazelle or goitered gazelle (Gazella subgutturosa marica), one of the 2 species found in the UAE",Geoffrey Colley,1,,,,,,,,
50 UAE Fils,UAE,50,Dirhams,AED |  ?. ?,,Denomination in Arabic characters surrounded by the country name,"Three oil derricks, date numerals below",Geoffrey Colley,3,,,,,,,,
Oval Burj Khalifa,UAE,,,,2022,Picture of the Burj Khalifa,,,1,,,,,,,,
Oval Stay-Puft,UAE,,,,2022,Stay-Puft from Ghost Busters,,,1,,,,,,,,
Oval 3 Penguins,UAE,,,,2022,3 Penguins,,,1,,,,,,,,
Oval Crocodile,UAE,,,,2022,A crocodile,,,1,,,,,,,,
2 Moroccan Dirhams,Morocco,2,Dirhams,dhs,2002 - 1423,King Mohammed VI,"Crowned arms with supporters, below the value.",Dar As-Sikkah,1,,,,,,,,
5 Moroccan Dirhams,Morocco,5,Dirhams,dhs,2014 - 1415,King Mohammed VI,"Hassan II Mosque in Casablanca, with the value ""5"" and ""???? ?????"" (Five Dirhams)",Dar As-Sikkah,1,,,,,,,,
1 US Cent,USA,1,Cents,$0.01 USD / 1¢,1997,Abraham Lincoln,Lincoln Memorial, Victor D. Brenner | Frank Gasparro,1,,,,,,,,
1 US Dime,USA,1,Dime,$0.10 USD / 10¢,1989,"Features a left-facing portrait of President Franklin D. Roosevelt. It includes the inscriptions ""LIBERTY"" and ""IN GOD WE TRUST,"" along with the year of mintage","Displays three main symbols from left to right: an olive branch (peace), a torch (liberty), and an oak branch (strength and independence). It also features the country's name, the denomination ""ONE DIME,"" and the motto ""E PLURIBUS UNUM""",John R. Sinnock,2,,,,,,,,
25 US Cents,USA,25,Cents,$0.25 USD / 25¢,1999,President George Washington,Founding Father Caeser Rodney,John Flanagan | William Cousins,1,,,,,,,,
Half New Sheqalim,Israel,1/2,New Sheqalim,?,,Twelve-stringed harp resembling the seal of princess Ma'adana,Value and year,N. Karp | Gabi Neumann,2,,,,,,,,
1 New Sheqel,Israel,1,New Sheqalim,?,,"Lily and letters Yehud (Judah) written in Paleo-Hebrew, resembling images from antique Persian silver coins with state emblem above (menorah flanked by olive branches), circle below emblem.","The denomination ""1 New Sheqel"" in Hebrew and English; the date in Hebrew; ""Israel"" in Hebrew, Arabic, and English",Victor Huster | Gabi Neumann,2,,,,,,,,
5 New Sheqalim,Israel,5,New Sheqalim,?,,"Capital of column; the emblem of the State of Israel; ""pearls"" along the border","The denomination ""5 New Sheqalim"" in Hebrew, Arabic and English; the date in Hebrew; ""Israel"" in Hebrew, Arabic and English; ""pearls"" along the border",Dov Liff | Gabi Neumann,2,,,,,,,,
10 New Sheqalim,Israel,10,New Sheqalim,?,,"Palm tree with seven leaves and two baskets with dates; the emblem of the State of Israel; the words ""for the redemption of Zion"" in ancient and modern Hebrew; vertical lines.","The denomination ""10 New Sheqalim"" and ""Israel"" in Hebrew, Arabic and English; the date in Hebrew; branch with dates, vertical lines.",R. Nutels,2,,,,,,,,
1 Pakistani Rupee,Pakistan,1,Pakistani Rupee,Rs | PKR,2012,Mohammad Ali Jinnah facing left,"Hazrat Lal Shahbaz Qalandar Mausoleum, Sehwan Shareef (in Jamshoro District of Sindh, Pakistan)",,2,,,,,,,,
2 Pakistani Rupee,Pakistan,2,Pakistani Rupee,Rs | PKR,2012,Star and crescent,"Baadshahi Mosque (Lahore, Pakistan)",,3,,,,,,,,
5 Pakistani Rupee,Pakistan,5,Pakistani Rupee,Rs | PKR,2003,Star and crescent,Value within star design and sprigs,,2,,,,,,,,
1 Norwegian Krone,Norway,1,Krone,kr | NOK,1997,Three crowned monograms of Harald V form cross within circle with center hole.,"Stylized bird on a vine above the center hole based on the carving on the portal of Hylestad Stave Church, Setesdal. Date above the value below.",Ingrid Austlid Rise,5,,,,,,,,
1 Japanese Yen,Japan,1,Yen,¥,,"Young tree with the words ""State of Japan"" above, and ""1 Yen"" below","""1"" in a circle with year of issue in kanji. Showa era year 64 (1989)",,1,,,,,,,,
10 Japanese Yen,Japan,10,Yen,¥,,Phoenix Hall of By?d?-in,Bay laurel leaves,,1,,,,,,,,
1 Swiss Franc,Switzerland,1,Swiss Franc (CHF),Fr.,1970,"The obverse side features a female figure representing Helvetia, the personification of Switzerland. She is shown standing, holding a spear, and leaning on a Swiss shield with a cross. The word ""HELVETIA"" is inscribed above.","The reverse side shows the denomination ""1 Fr."" (1 franc) in the center, with the minting year ""1970"" below it. It is surrounded by a wreath made of oak and laurel branches.",Albert Walch,1,,,,,,,,
2 Mexican Pesos,Mexico,2,New Pesos,$/Mex$,1993,The national emblem of Mexico depicting a Mexican golden eagle perched on a prickly pear cactus devouring a snake above a half-wreath of oak and laurel below and the legend forming the upper semicircle.,"At center, the denomination N$2 with the date above the N$ and the mint mark ? to the right. On the outer ring, the stylized designs from the Ring of Days (Anillo de los Días) on the Aztec calendar stone (Piedra del Sol)",,1,,,,,,,,
5 Romanian Bani,Romania,5,Romanian Leu,L/RON,2020,5 Bani,Romanian coat of arms featuring a heraldic eagle,,1,,,,,,,,
10 Polish Zloty,Poland,10,Zloty,z? / PLN,2005,"The white eagle, the emblem of Poland depicted on its coat of arms, with the country name above around the rim and the date below",The face value surrounded by a coronal of stylized leaves,Stanis?awa W?tróbska-Frindt | Ewa Tyc-Karpi?ska,1,,,,,,,,
10 Thailand Baht,Thailand,10,Thai Baht,? | THB,,King Vajiralongkorn,Royal Monogram of King Vajiralongkorn,Vudhichai Seangern | Chaiyod Soontrapa,1,,,,,,,,
25 Riyals,Qatar,25,Riyal,,1437 | 2016,"Dates on top. Emblem of Qatar consisting of two crossed bent swords, and between them a sailing ship (dhow) sailing on waves beside an island with two palm trees.",Denomination.,,1,,,,,,,,
Amsterdam,Amsterdam,,,,,Amsterdam,Map of Amsterdam,,1,,,,,,,,
The Symbol of Siciliy,Italy,,,,,The Symbol of Siciliy,Map of Siciliy,,1,,,,,,,,
Cathedral of Sant'Agata in Catania,Italy,,,,,Cathedral of Sant'Agata in Catania,Generic model of a cardinal's coat of arms,,1,,,,,,,,
3 Lightning Bolts,,,,,,3 Lightning Bolts,3 Lightning Bolts,,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
